S_SUPPKEY	S_NAME	S_ADDRESS	S_NATIONKEY	S_PHONE	S_ACCTBAL	S_COMMENT
1	Supplier#000000001       	 N kD4on9OM Ipw3,gf0JBoQDd7tgrzrddZ	17	27-918-335-1736	5755.94	requests haggle carefully. accounts sublate finally. carefully ironic pa
2	Supplier#000000002       	89eJ5ksX3ImxJQBvxObC,	5	15-679-861-2259	4032.68	furiously stealthy frays thrash alongside of the slyly express deposits. blithely regular req
3	Supplier#000000003       	q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3	1	11-383-516-1199	4192.4	furiously regular instructions impress slyly! carefu
4	Supplier#000000004       	Bk7ah4CK8SYQTepEmvMkkgMwg	15	25-843-787-7479	4641.08	final ideas cajole. furiously close dep
5	Supplier#000000005       	Gcdm2rJRzl5qlTVzc	11	21-151-690-3663	-283.84	carefully silent instructions are slyly according t
6	Supplier#000000006       	tQxuVm7s7CnK	14	24-696-997-4969	1365.79	even requests wake carefully! fluffily final pinto beans run slyly among t
7	Supplier#000000007       	s,4TicNGB4uO6PaSqNBUq	23	33-990-965-2201	6820.35	carefully express packages believe furiously after the fur
8	Supplier#000000008       	9Sq4bBH2FQEmaFOocY45sRTxo6yuoG	17	27-498-742-3860	7627.85	carefully express escapades are slyly 
9	Supplier#000000009       	1KhUgZegwM3ua7dsYmekYBsK	10	20-403-398-8662	5302.37	slyly regular decoys mold slyly ironic dugouts. requests are carefully-- carefully
10	Supplier#000000010       	Saygah3gYWMp72i PY	24	34-852-489-8585	3891.91	ironic deposits poach quickly furiously final accounts. carefull
11	Supplier#000000011       	JfwTs,LZrV, M,9C	18	28-613-996-1505	3393.08	quickly bold asymptotes mold carefully unusual pearls. requests boost at the blith
12	Supplier#000000012       	aLIW  q0HYd	8	18-179-925-7181	1432.69	evenly pending theodolites lose. 
13	Supplier#000000013       	HK71HQyWoqRWOX8GI FpgAifW,2PoH	3	13-727-620-7813	9107.22	ironically busy packages thrash 
14	Supplier#000000014       	EXsnO5pTNj4iZRm	15	25-656-247-5058	9189.82	enticingly bold platelets wake against the
15	Supplier#000000015       	olXVbNBfVzRqgokr1T,Ie	8	18-453-357-6394	308.56	regular attainments cajole. furiously final reques
